pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
1.07503,-1.6739,-1.69553,1.0,,,,muon,120234945
2.06272,-0.233066,-0.154099,-1.0,0.0007022,0.000569556,0.0399465,electron,1203594102
2.65992,2.00597,-2.18704,1.0,-0.0105003,0.00913216,-0.0599866,electron,1203594102
27.8533,-1.33245,1.91092,-1.0,,,,muon,1203594102
40.1528,-0.145654,-2.12755,-1.0,,,,muon,1203594102
20.7744,-0.766276,0.428855,1.0,,,,muon,1203594102
15.0707,0.574814,1.5969,1.0,,,,muon,1203594102
24.3724,-0.133998,-2.07008,-1.0,0.00074378,0.000621331,-0.0472878,electron,1357605031
70.1303,-0.89398,1.98766,1.0,0.000731017,0.000647063,-0.0473625,electron,1357605031
22.4844,1.42129,-1.87142,1.0,0.000636288,0.000649523,-0.0473871,electron,1357605031
5.83956,0.44583,1.57602,-1.0,-0.0109161,0.000507036,-0.0466046,electron,1357605031
69.553,-0.892012,1.97903,,0.000739621,0.000639016,-0.0473004,photon,1357605031
27.52,0.386181,1.77246,,0.000739621,0.000639016,-0.0473004,photon,1357605031
23.9664,-0.134851,-2.04755,,0.000739621,0.000639016,-0.0473004,photon,1357605031
31.2021,-2.48239,-0.324273,,0.000739621,0.000639016,-0.0473004,photon,1357605031
22.7815,0.325762,-2.7496,1.0,,,,muon,1357605031
13.2045,-0.122117,-2.02962,-1.0,,,,muon,1357605031
21.2109,0.0214819,-1.23997,1.0,0.000737036,0.000628603,0.0333445,electron,137440354
10.3451,-0.353882,2.4158,-1.0,0.000751042,0.000654058,0.0333482,electron,137440354
21.3275,0.022772,-1.27662,,0.000727457,0.000624032,0.0333431,photon,137440354
10.6521,-0.353804,2.49781,,0.000727457,0.000624032,0.0333431,photon,137440354
23.8616,-2.02068,-1.20971,-1.0,,,,muon,137440354
43.3751,-0.852283,1.82177,1.0,,,,muon,137440354
1.23013,-2.22911,-2.09664,-1.0,,,,muon,137440354
1.2792,-2.24917,-2.09916,-1.0,,,,muon,137440354
1.38801,-2.23257,-2.09623,-1.0,,,,muon,137440354
1.33229,-2.12031,-1.91088,-1.0,,,,muon,137440354
9.16553,2.20045,1.35136,1.0,,,,muon,1430970868
63.0047,1.35909,-2.5838,-1.0,,,,muon,1430970868
21.9699,1.09564,-0.0331843,-1.0,,,,muon,1430970868
23.4292,1.01621,0.861213,1.0,,,,muon,1430970868
4.91363,-2.13683,3.04243,-1.0,,,,muon,1430970868
0.901264,-2.33632,2.40661,-1.0,,,,muon,1430970868
18.2359,0.778733,1.72011,1.0,0.000659596,0.000599902,-0.0605195,electron,153791279
24.5158,-0.405374,2.84684,-1.0,0.000797375,0.000893662,-0.0605931,electron,153791279
24.0741,-0.40778,2.86307,,0.000691406,0.000624151,-0.0605083,photon,153791279
17.8757,0.779966,1.68,,0.000691406,0.000624151,-0.0605083,photon,153791279
30.9477,-1.92709,-0.497478,,0.000691406,0.000624151,-0.0605083,photon,153791279
13.6129,1.60484,0.548065,-1.0,,,,muon,153791279
78.1523,-0.370832,2.26347,1.0,,,,muon,153791279
1.36994,-1.85739,-2.31494,-1.0,,,,muon,153791279
0.996279,-2.19357,-0.842958,1.0,,,,muon,153791279
14.036,0.129948,-0.649243,-1.0,0.000719055,0.000619555,-0.0126083,electron,1605749984
8.11384,2.23705,2.528,1.0,0.000595645,0.000446697,-0.011668,electron,1605749984
13.7465,0.129666,-0.589884,,0.000686927,0.000610587,-0.0124654,photon,1605749984
47.0142,1.78576,2.02133,-1.0,,,,muon,1605749984
15.547,-0.47456,-0.933628,1.0,,,,muon,1605749984
1.36366,2.23731,2.67103,1.0,,,,muon,1605749984
83.9855,0.698625,0.834871,,0.000720827,0.000610041,-0.0153337,photon,200472330
1.33077,2.17571,-1.8619,1.0,,,,muon,200472330
186.896,-0.649623,-2.12719,,0.00071388,0.000606578,0.0201714,photon,200483690
13.9713,-0.688359,-2.09863,-1.0,,,,muon,200483690
51.4639,-0.669196,-2.09921,-1.0,,,,muon,200483690
16.7041,-0.650233,-2.11005,-1.0,,,,muon,200483690
37.8384,1.03277,-2.37962,1.0,0.000700143,0.000623421,0.0956224,electron,200621946
25.4241,-1.28372,0.0836704,1.0,0.000704042,0.000631243,0.0956329,electron,200621946
51.2648,1.6956,0.637463,-1.0,0.000641722,0.000698515,0.0958331,electron,200621946
132.016,-0.545037,0.910257,,0.000693995,0.000618505,0.0956977,photon,200621946
24.976,-1.27847,0.0697217,,0.000693995,0.000618505,0.0956977,photon,200621946
50.5605,1.68336,0.629755,,0.000693995,0.000618505,0.0956977,photon,200621946
1.14129,-1.87752,1.23764,-1.0,,,,muon,200621946
2.27648,-0.601889,-2.2423,-1.0,0.000671958,0.000644244,0.0136706,electron,200766002
