pt,eta,phi,particle_type,event_id
1.11877,-1.73235,1.99438,track,137440354
0.909805,-0.723886,2.01524,track,137440354
1.35104,-0.695709,2.08305,track,137440354
2.34697,1.5617,2.09778,track,137440354
0.754444,0.948469,2.22995,track,137440354
0.785723,-0.305113,2.34926,track,137440354
1.24564,0.865631,2.76912,track,137440354
1.13353,0.41894,2.80273,track,137440354
2.12765,1.47271,2.8384,track,137440354
1.308,-1.18311,3.01768,track,137440354
0.90945,0.0879547,3.06096,track,137440354
7.58585,1.90935,-2.04768,track,137440354
1.01791,1.88742,-0.395288,track,137440354
2.09348,2.14956,1.37249,track,137440354
1.86325,2.32664,1.52355,track,137440354
1.07739,2.09146,2.58681,track,137440354
1.23013,-2.22911,-2.09664,track,137440354
0.981408,-2.28252,2.48487,track,137440354
10.4016,-0.353676,2.41599,track,137440354
1.59935,-1.24227,-1.17362,track,137440354
2.79932,-1.75781,1.04839,track,137440354
1.09279,2.24335,-2.26404,track,137440354
2.35349,0.0714421,-2.86101,track,137440354
0.802722,0.400479,2.7788,track,137440354
1.95936,-0.934601,-0.177735,track,137440354
1.01328,1.43909,2.65599,track,137440354
3.06652,-2.35608,-0.38835,track,137440354
1.06902,2.19965,0.74867,track,137440354
1.42532,-1.79532,-2.24125,track,137440354
1.03437,-1.79855,-2.41933,track,137440354
1.47253,0.855027,2.37559,track,137440354
0.850941,-1.91007,-2.26773,track,137440354
0.962447,-2.13936,2.54928,track,137440354
1.01069,1.82665,-0.229882,track,137440354
0.957626,-0.384432,0.672594,track,137440354
1.49143,-0.0940566,0.624753,track,137440354
0.84324,-1.63502,0.904088,track,137440354
1.50294,-0.538309,1.83064,track,137440354
1.2792,-2.24917,-2.09916,track,137440354
1.55973,-1.60329,0.471087,track,137440354
2.07616,2.06342,-2.36323,track,137440354
1.11496,0.497193,-3.0962,track,137440354
3.0709,0.717424,-2.84811,track,137440354
1.45362,-0.721081,-2.42101,track,137440354
0.782934,-0.274208,-0.16792,track,137440354
0.880061,-0.815876,0.534478,track,137440354
0.768965,-1.25468,0.980913,track,137440354
1.27482,0.702501,1.96424,track,137440354
0.774487,-1.55111,2.20373,track,137440354
1.67768,-2.34751,-2.56764,track,137440354
1.38801,-2.23257,-2.09623,track,137440354
1.33229,-2.12031,-1.91088,track,137440354
1.08076,0.951288,0.153943,track,137440354
1.03943,0.319486,1.28148,track,137440354
0.925495,-1.81206,1.32922,track,137440354
63.0047,1.35909,-2.5838,tau,1430970868
1.74034,-0.35977,-1.36538,tau,1430970868
0.897595,-2.0842,-1.72598,tau,1430970868
23.4292,1.01621,0.861213,tau,1430970868
6.37592,1.63643,2.32496,tau,1430970868
1.59789,0.380808,-3.07833,tau,1430970868
1.06455,1.97853,-2.85415,tau,1430970868
21.9699,1.09564,-0.0331843,tau,1430970868
1.90513,-1.3787,1.99132,tau,1430970868
1.77712,1.49795,-0.993041,tau,1430970868
6.94469,-0.275884,3.05619,tau,1430970868
2.80941,-0.143834,1.31129,tau,1430970868
5.5651,1.39608,-1.86889,tau,1430970868
5.58109,3.14266,1.02697,tau,1430970868
6.7597,-3.03519,1.65284,tau,1430970868
5.80766,-2.78901,-1.42612,tau,1430970868
6.67841,3.47639,-2.19522,tau,1430970868
10.4572,-2.21378,0.52819,tau,1430970868
6.92164,0.676084,-2.52728,tau,1430970868
7.43299,-1.29631,-2.99973,tau,1430970868
4.7812,3.90943,0.550975,tau,1430970868
8.47556,-3.39549,-0.361628,tau,1430970868
9.73532,-4.23645,-0.180879,tau,1430970868
10.8045,2.66582,-2.70549,tau,1430970868
3.84991,-0.703747,0.476128,tau,1430970868
3.25526,3.10224,1.95577,tau,1430970868
3.26012,-4.46597,0.786927,tau,1430970868
3.33349,-3.61428,2.20322,tau,1430970868
3.39248,3.12486,-0.590196,tau,1430970868
3.45386,4.29897,1.47351,tau,1430970868
3.55853,4.26538,-1.65882,tau,1430970868
3.61568,2.96757,-1.47834,tau,1430970868
3.70199,-3.73694,-1.02095,tau,1430970868
