pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
0.714145,-0.369433,1.41145,1.0,0.144216,-0.0224264,-0.119154,track,22109111
1.72991,-0.381123,1.09848,-1.0,-0.0830263,0.0434174,-0.00379391,track,22109111
0.828118,-0.498531,1.58918,-1.0,-0.00383691,0.000552325,0.0572299,track,22109111
0.928101,0.921157,-2.97348,1.0,0.0116099,-0.0635531,0.259055,track,22109111
1.65597,1.56442,1.20543,1.0,0.00542099,-0.00116598,-0.00837698,track,22109111
0.874972,-1.4024,0.766135,-1.0,-0.0579894,0.0616539,-0.0842306,track,22109111
0.985371,-1.48532,-0.327855,-1.0,0.005629,0.0151243,0.0168254,track,22109111
1.43716,-1.43818,-2.91887,1.0,-0.0022092,0.013441,-0.0921542,track,22109111
2.02449,-1.60736,-3.12719,-1.0,0.000790091,-0.00581868,-0.0358156,track,22109111
1.30377,-1.68038,0.44296,1.0,-0.0140637,0.0317796,0.0226189,track,22109111
0.789352,-1.71274,1.08645,-1.0,-0.0049745,0.00362605,0.00843756,track,22109111
1.15788,-1.64034,0.988027,1.0,0.121105,-0.0787724,-0.503904,track,22109111
0.838852,-1.91438,2.94716,-1.0,0.000671127,0.000501273,-0.012415,muon,22109111
2.6465,-2.2733,0.817141,1.0,0.000772934,0.000569757,0.00224035,muon,22109111
1.7366,-2.46309,-1.79257,1.0,0.00272601,0.000183049,-0.00118448,muon,22109111
35.556,0.00578447,1.834,0.0,0.000725879,0.000609286,-0.0475917,photon,652620608
30.9368,1.94829,-1.74553,0.0,0.000725879,0.000609286,-0.0475917,photon,652620608
1.07084,-0.797238,3.12657,-1.0,0.000715753,0.000531741,-0.0878381,track,652620608
1.18671,-1.19311,-3.05249,-1.0,0.000701977,0.000826038,-0.0475475,track,652620608
0.774977,-1.04753,-3.03704,-1.0,0.000692844,0.000900034,-0.0251772,track,652620608
1.03703,1.03198,-2.96562,-1.0,0.000741712,0.000519355,-0.00190566,track,652620608
0.934525,1.60116,-2.80882,1.0,0.000690144,0.000697795,-0.083114,track,652620608
0.905223,0.675504,-2.87693,-1.0,0.000703874,0.000667553,-0.087803,track,652620608
1.18204,-0.874157,-2.75964,1.0,0.000755824,0.000546994,0.0538352,track,652620608
1.08103,-0.506255,-2.73723,1.0,0.00086924,0.000269752,-0.0476053,track,652620608
1.05149,1.39926,-2.76164,-1.0,0.000713366,0.000628952,-0.0831689,track,652620608
1.14046,1.03093,-2.62881,-1.0,0.000712667,0.000636087,-0.00195408,track,652620608
0.801009,0.647843,-2.51376,1.0,0.000748561,0.000581804,-0.00182188,track,652620608
1.12651,0.394659,-2.49002,1.0,0.00068882,0.000655919,-0.087714,track,652620608
0.937007,-0.164389,-2.43617,1.0,0.000716546,0.000624234,-0.00190947,track,652620608
1.30034,1.52807,-2.48588,-1.0,0.000668959,0.000687159,-0.00198861,track,652620608
2.13931,-1.4459,-2.36832,1.0,0.000640788,0.000702561,0.0454313,track,652620608
0.764264,1.58008,-2.30964,1.0,0.000795906,0.000547024,-0.087788,track,652620608
2.0517,-2.05454,-2.23349,-1.0,0.000845383,0.000521437,0.0447828,track,652620608
0.83699,-0.231391,-2.23008,-1.0,0.000724313,0.000613257,-0.0880235,track,652620608
0.920916,-0.428268,-2.06426,-1.0,0.000794559,0.00057703,-0.00172221,track,652620608
0.832607,0.51934,-1.90562,1.0,0.000724067,0.000615248,-0.0251746,track,652620608
0.789667,0.0718452,-1.88314,1.0,0.000844146,0.000577849,-0.0880364,track,652620608
1.46475,1.96365,-1.85889,1.0,0.000751587,0.000607691,-0.0478853,track,652620608
1.59583,0.333897,-1.77136,1.0,0.000649676,0.000628312,0.045187,track,652620608
0.791062,-1.62669,-1.83033,-1.0,0.000525671,0.000667394,-0.00279898,track,652620608
2.4014,-1.12497,-1.70556,-1.0,0.000735016,0.000614911,-0.0475337,track,652620608
0.867799,-0.609197,-1.63076,-1.0,0.000724017,0.000618254,-0.0831014,track,652620608
0.955404,-2.01303,-1.59558,-1.0,0.000586786,0.000615203,0.0545783,track,652620608
2.14825,-1.17214,-1.56519,-1.0,0.000737505,0.000618775,-0.0833792,track,652620608
0.978473,0.31844,-1.57056,-1.0,0.000726867,0.000618661,-0.0833704,track,652620608
1.06871,-0.13985,-1.53842,-1.0,0.000955947,0.000624479,-0.0476322,track,652620608
1.53917,0.639899,-1.24106,-1.0,0.000778021,0.000632759,-0.00182621,track,652620608
1.14371,-0.96399,-1.24161,-1.0,0.000720166,0.000612959,-0.00176525,track,652620608
0.913534,-1.94828,-1.09077,-1.0,0.000265644,0.000372557,0.0271993,track,652620608
2.07539,-1.20255,-0.993094,1.0,0.000668803,0.000583035,-0.0475851,track,652620608
0.85942,-1.0677,-0.888511,1.0,0.00070864,0.000607071,-0.0475474,track,652620608
1.16306,-0.587351,-0.918889,-1.0,0.000692255,0.000589719,-0.00188855,track,652620608
