pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
1.62219,0.914008,-0.0283543,-1.0,0.000715446,0.000527213,-0.0770798,0.690518,-0.0195844,0.72305,track,652620608
0.789876,-1.15357,2.22528,1.0,0.0144834,0.0111675,0.0220882,-0.349357,0.4553,-0.818933,track,652620608
22.6048,0.00747462,1.85019,1.0,0.00365476,0.00145869,-0.0481199,-0.275768,0.961195,0.00747448,track,652620608
11.5728,-0.013336,1.79779,-1.0,-0.00523441,-0.000759495,-0.0355487,-0.225034,0.97426,-0.0133352,track,652620608
0.726666,-1.10487,-2.5234,1.0,-0.0718922,0.102685,-0.146631,-0.486513,-0.345997,-0.802241,track,652620608
1.16249,0.647905,-2.73893,1.0,-0.0318148,0.0770167,-0.0368245,-0.755766,-0.321906,0.570258,track,652620608
1.1525,1.61007,-2.52511,-1.0,0.00376402,-0.00368551,-0.119744,-0.313632,-0.222242,0.92317,track,652620608
0.762783,1.22146,0.436009,-1.0,-0.00947302,0.0225939,0.692061,0.491707,0.229093,0.840084,track,652620608
1.48226,1.73847,2.39329,1.0,-0.0709316,-0.0765949,0.123862,-0.24993,0.232041,0.940049,track,652620608
1.61969,-1.47051,-2.37353,1.0,0.0275379,-0.0271289,0.100175,-0.313999,-0.303299,-0.899675,track,652620608
0.743326,-1.30462,-1.24587,1.0,0.00721074,0.00281762,-0.216035,0.161332,-0.478916,-0.862909,track,652620608
0.893336,-1.43852,-1.07279,-1.0,0.0196534,0.0109202,-0.113919,0.2146,-0.394693,-0.8934,track,652620608
1.30034,1.52807,-2.48588,-1.0,,,,,,,tau,652620608
6.22328,0.480655,2.85641,-1.0,,,,,,,tau,652620608
1.5085,1.14668,3.11126,1.0,,,,,,,tau,652620608
2.07539,-1.20255,-0.993094,1.0,,,,,,,tau,652620608
32.711,1.93789,-1.74702,-1.0,,,,,,,tau,652620608
1.13121,-0.957437,1.67716,-1.0,,,,,,,tau,652620608
14.6272,0.647979,0.148169,-1.0,,,,,,,tau,652620608
1.85468,-0.145685,1.77421,-1.0,,,,,,,tau,652620608
1.95231,2.23936,-0.310995,1.0,,,,,,,tau,652620608
2.80245,0.353609,-0.609134,-1.0,,,,,,,tau,652620608
2.44736,-0.668714,-0.370968,1.0,,,,,,,tau,652620608
3.42474,-2.58384,2.25152,-1.0,,,,,,,tau,652620608
2.7882,-2.07666,0.0503939,-1.0,,,,,,,tau,652620608
6.09815,-3.3947,-1.5523,0.0,,,,,,,tau,652620608
9.00609,-3.81088,0.949303,0.0,,,,,,,tau,652620608
9.18967,-3.00028,0.337743,0.0,,,,,,,tau,652620608
9.37893,-4.24091,0.164187,0.0,,,,,,,tau,652620608
8.65082,-2.78646,2.98829,0.0,,,,,,,tau,652620608
