Name,Index,WasRun,Accept,Error,Objects
HLT_DoubleEle8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT175_v1,340,1,0,0,
HLT_DoubleEle8_CaloIdT_TrkIdVL_Mass8_PFNoPUHT225_v1,341,1,0,0,
HLT_DoubleEle10_CaloIdL_TrkIdVL_Ele10_CaloIdT_TrkIdVL_v12,342,1,0,0,
HLT_TripleEle10_CaloIdL_TrkIdVL_v18,343,1,0,0,
HLT_RsqMR40_Rsq0p04_v4,344,1,0,0,
HLT_RsqMR45_Rsq0p09_v3,345,1,0,0,
HLT_RsqMR55_Rsq0p09_MR150_v4,346,1,0,0,
HLT_RsqMR60_Rsq0p09_MR150_v4,347,1,0,0,
HLT_RsqMR65_Rsq0p09_MR150_v3,348,1,0,0,
HLT_IsoMu12_RsqMR30_Rsq0p04_MR200_v2,349,1,0,0,
HLT_IsoMu12_RsqMR40_Rsq0p04_MR200_v2,350,1,0,0,
HLT_Ele12_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_RsqMR30_Rsq0p04_MR200_v2,351,1,0,0,
HLT_Ele12_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_RsqMR40_Rsq0p04_MR200_v2,352,1,0,0,
HLT_Ele12_CaloIdT_CaloIsoVL_TrkIdVL_TrkIsoVL_DoubleCentralJet65_v2,353,1,0,0,
HLT_Photon40_CaloIdL_RsqMR35_Rsq0p09_MR150_v4,354,1,0,0,
HLT_Photon40_CaloIdL_RsqMR40_Rsq0p09_MR150_v4,355,1,0,0,
HLT_Photon40_CaloIdL_RsqMR45_Rsq0p09_MR150_v4,356,1,0,0,
HLT_Photon40_CaloIdL_RsqMR50_Rsq0p09_MR150_v4,357,1,0,0,
HLT_DoublePhoton40_CaloIdL_Rsq0p035_v4,358,1,0,0,
HLT_DoublePhoton40_CaloIdL_Rsq0p06_v4,359,1,0,0,
HLT_Mu22_Photon22_CaloIdL_v6,360,1,0,0,
HLT_Mu8_DoubleEle8_CaloIdT_TrkIdVL_v6,361,1,0,0,
HLT_Mu8_Ele8_CaloIdT_TrkIdVL_Ele8_CaloIdL_TrkIdVL_v6,362,1,0,0,
HLT_DoubleMu14_Mass8_PFMET40_v6,363,1,0,0,-81/94 -81/95 83/2 83/3 
HLT_DoubleMu14_Mass8_PFMET50_v6,364,1,0,0,-81/94 -81/95 83/2 83/3 
HLT_DoubleEle14_CaloIdT_TrkIdVL_Mass8_PFMET40_v6,365,1,0,0,
HLT_DoubleEle14_CaloIdT_TrkIdVL_Mass8_PFMET50_v6,366,1,0,0,
