eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
-3.29017,-1.91797,7.64117,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
3.29621,-1.15202,7.56063,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
0.913667,2.12663,7.41615,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-4.40533,1.09564,4.91921,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
2.13838,-1.71505,3.12486,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-3.29131,1.45881,3.19154,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-4.33236,-3.10935,3.20574,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
1.66688,1.1703,3.25212,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
2.59434,2.27054,3.53335,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-3.48383,-1.04594,3.57299,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-4.84536,-2.51879,3.6326,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-4.33352,-1.383,3.81912,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-2.89223,-2.79192,3.92223,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
0.183188,-1.26591,3.94319,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-3.33658,-0.264356,3.94743,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
2.79356,1.28549,3.96811,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-0.746138,-3.12546,3.98608,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-0.657822,-1.64534,3.98894,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
3.81199,0.47307,4.00886,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
3.4116,2.72179,4.63717,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-2.82043,-1.48722,4.10861,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
