detid,fraction,front_1_x,front_1_y,front_1_z,front_2_x,front_2_y,front_2_z,front_3_x,front_3_y,front_3_z,front_4_x,front_4_y,front_4_z,back_1_x,back_1_y,back_1_z,back_2_x,back_2_y,back_2_z,back_3_x,back_3_y,back_3_z,back_4_x,back_4_y,back_4_z
838898435,1,-0.465507,-1.20471,-2.14506,-0.473465,-1.22262,-2.13152,-0.493682,-1.21364,-2.13152,-0.48541,-1.19587,-2.14506,-0.517891,-1.32264,-2.33546,-0.526546,-1.34213,-2.32073,-0.548796,-1.33224,-2.32073,-0.539798,-1.31291,-2.33546
838897923,1,-0.465507,-1.20471,-2.10248,-0.473415,-1.22251,-2.08876,-0.493632,-1.21353,-2.08876,-0.48541,-1.19587,-2.10248,-0.518588,-1.32421,-2.29171,-0.527189,-1.34357,-2.27678,-0.549439,-1.33369,-2.27678,-0.540496,-1.31448,-2.29171
838898947,1,-0.465507,-1.20471,-2.18821,-0.473514,-1.22273,-2.17484,-0.493731,-1.21375,-2.17484,-0.48541,-1.19587,-2.18821,-0.517189,-1.32106,-2.37977,-0.525899,-1.34067,-2.36523,-0.548148,-1.33079,-2.36523,-0.539097,-1.31133,-2.37977
838899459,1,-0.465507,-1.20471,-2.23194,-0.473563,-1.22284,-2.21875,-0.49378,-1.21386,-2.21875,-0.48541,-1.19587,-2.23194,-0.516483,-1.31947,-2.42464,-0.525246,-1.3392,-2.4103,-0.547496,-1.32932,-2.4103,-0.538391,-1.30974,-2.42464
838897411,1,-0.465507,-1.20471,-2.06045,-0.473364,-1.2224,-2.04655,-0.493581,-1.21342,-2.04655,-0.48541,-1.19587,-2.06045,-0.519281,-1.32577,-2.24849,-0.527827,-1.34501,-2.23337,-0.550077,-1.33513,-2.23337,-0.541189,-1.31604,-2.24849
838898428,1,-0.608101,-1.14111,-2.14506,-0.618185,-1.15792,-2.13152,-0.636954,-1.14622,-2.13152,-0.626578,-1.12958,-2.14506,-0.674538,-1.25176,-2.33546,-0.685506,-1.27005,-2.32073,-0.706162,-1.25716,-2.32073,-0.694877,-1.23907,-2.33546
838897916,1,-0.608101,-1.14111,-2.10248,-0.618119,-1.15782,-2.08876,-0.636889,-1.14611,-2.08876,-0.626578,-1.12958,-2.10248,-0.675447,-1.25322,-2.29171,-0.686344,-1.27139,-2.27678,-0.707,-1.25851,-2.27678,-0.695786,-1.24053,-2.29171
838898940,1,-0.608101,-1.14111,-2.18821,-0.618249,-1.15803,-2.17484,-0.637019,-1.14632,-2.17484,-0.626578,-1.12958,-2.18821,-0.673623,-1.25029,-2.37977,-0.684661,-1.26869,-2.36523,-0.705318,-1.25581,-2.36523,-0.693962,-1.2376,-2.37977
838899452,1,-0.608101,-1.14111,-2.23194,-0.618313,-1.15813,-2.21875,-0.637082,-1.14642,-2.21875,-0.626578,-1.12958,-2.23194,-0.672703,-1.24882,-2.42464,-0.68381,-1.26733,-2.4103,-0.704467,-1.25444,-2.4103,-0.693042,-1.23613,-2.42464
838897404,1,-0.608101,-1.14111,-2.06045,-0.618053,-1.15771,-2.04655,-0.636823,-1.14601,-2.04655,-0.626578,-1.12958,-2.06045,-0.676351,-1.25466,-2.24849,-0.687176,-1.27272,-2.23337,-0.707832,-1.25984,-2.23337,-0.69669,-1.24198,-2.24849
838898429,1,-0.587605,-1.15029,-2.14506,-0.597393,-1.16728,-2.13152,-0.61656,-1.15623,-2.13152,-0.606473,-1.13942,-2.14506,-0.652038,-1.2621,-2.33546,-0.662684,-1.28057,-2.32073,-0.683778,-1.26842,-2.32073,-0.672807,-1.25013,-2.33546
838897917,1,-0.587605,-1.15029,-2.10248,-0.597331,-1.16717,-2.08876,-0.616498,-1.15612,-2.08876,-0.606474,-1.13942,-2.10248,-0.652895,-1.26359,-2.29171,-0.663475,-1.28194,-2.27678,-0.684569,-1.26979,-2.27678,-0.673665,-1.25162,-2.29171
838898941,1,-0.587605,-1.15029,-2.18821,-0.597454,-1.16738,-2.17484,-0.616621,-1.15634,-2.17484,-0.606474,-1.13942,-2.18821,-0.651175,-1.2606,-2.37977,-0.661887,-1.27919,-2.36523,-0.682981,-1.26703,-2.36523,-0.671944,-1.24863,-2.37977
838899453,1,-0.587605,-1.15029,-2.23194,-0.597514,-1.16749,-2.21875,-0.616681,-1.15644,-2.21875,-0.606474,-1.13942,-2.23194,-0.650306,-1.25909,-2.42464,-0.661085,-1.2778,-2.4103,-0.682178,-1.26564,-2.4103,-0.671076,-1.24712,-2.42464
838897405,1,-0.587605,-1.15029,-2.06045,-0.597269,-1.16706,-2.04655,-0.616436,-1.15602,-2.04655,-0.606474,-1.13942,-2.06045,-0.653748,-1.26507,-2.24849,-0.664259,-1.28331,-2.23337,-0.685353,-1.27115,-2.23337,-0.674517,-1.2531,-2.24849
838898430,1,-0.568352,-1.16139,-2.14506,-0.577842,-1.17854,-2.13152,-0.597009,-1.1675,-2.13152,-0.587221,-1.15051,-2.14506,-0.630884,-1.27429,-2.33546,-0.641207,-1.29295,-2.32073,-0.6623,-1.28079,-2.32073,-0.651654,-1.26232,-2.33546
838897918,1,-0.568352,-1.16139,-2.10248,-0.577781,-1.17844,-2.08876,-0.596948,-1.16739,-2.08876,-0.587221,-1.15051,-2.10248,-0.631742,-1.27578,-2.29171,-0.641997,-1.29432,-2.27678,-0.663091,-1.28217,-2.27678,-0.652511,-1.26381,-2.29171
838898942,1,-0.568352,-1.16139,-2.18821,-0.577903,-1.17865,-2.17484,-0.59707,-1.1676,-2.17484,-0.587221,-1.15051,-2.18821,-0.630021,-1.27279,-2.37977,-0.64041,-1.29157,-2.36523,-0.661504,-1.27941,-2.36523,-0.650791,-1.26082,-2.37977
838899454,1,-0.568352,-1.16139,-2.23194,-0.577963,-1.17875,-2.21875,-0.59713,-1.16771,-2.21875,-0.587221,-1.15051,-2.23194,-0.629153,-1.27128,-2.42464,-0.639607,-1.29017,-2.4103,-0.660701,-1.27802,-2.4103,-0.649922,-1.25932,-2.42464
838897406,1,-0.568352,-1.16139,-2.06045,-0.577718,-1.17833,-2.04655,-0.596885,-1.16728,-2.04655,-0.587221,-1.15051,-2.06045,-0.632594,-1.27726,-2.24849,-0.642782,-1.29568,-2.23337,-0.663875,-1.28353,-2.23337,-0.653364,-1.26529,-2.24849
838898432,1,-0.527919,-1.18027,-2.14506,-0.536804,-1.19774,-2.13152,-0.556345,-1.18737,-2.13152,-0.547156,-1.17006,-2.14506,-0.58647,-1.29528,-2.33546,-0.596134,-1.31429,-2.32073,-0.61764,-1.30288,-2.32073,-0.607645,-1.28404,-2.33546
838897920,1,-0.527919,-1.18027,-2.10248,-0.536746,-1.19763,-2.08876,-0.556287,-1.18726,-2.08876,-0.547156,-1.17006,-2.10248,-0.587275,-1.2968,-2.29171,-0.596876,-1.31569,-2.27678,-0.618382,-1.30428,-2.27678,-0.60845,-1.28556,-2.29171
838898944,1,-0.527919,-1.18027,-2.18821,-0.536861,-1.19785,-2.17484,-0.556402,-1.18748,-2.17484,-0.547156,-1.17006,-2.18821,-0.585659,-1.29375,-2.37977,-0.595386,-1.31288,-2.36523,-0.616892,-1.30147,-2.36523,-0.606834,-1.28252,-2.37977
838899456,1,-0.527919,-1.18027,-2.23194,-0.536918,-1.19796,-2.21875,-0.556459,-1.18759,-2.21875,-0.547156,-1.17006,-2.23194,-0.584844,-1.29222,-2.42464,-0.594632,-1.31146,-2.4103,-0.616138,-1.30005,-2.4103,-0.606019,-1.28098,-2.42464
838897408,1,-0.527919,-1.18027,-2.06045,-0.536688,-1.19752,-2.04655,-0.556229,-1.18715,-2.04655,-0.547156,-1.17006,-2.06045,-0.588075,-1.29831,-2.24849,-0.597613,-1.31708,-2.23337,-0.619118,-1.30567,-2.23337,-0.60925,-1.28707,-2.24849
838898445,1,-0.24678,-1.26791,-2.14506,-0.251509,-1.28694,-2.13152,-0.272977,-1.2816,-2.13152,-0.267915,-1.26266,-2.14506,-0.277906,-1.39314,-2.33546,-0.283049,-1.41384,-2.32073,-0.306676,-1.40797,-2.32073,-0.30117,-1.38736,-2.33546
838897933,1,-0.24678,-1.26791,-2.10248,-0.251479,-1.28682,-2.08876,-0.272948,-1.28148,-2.08876,-0.267915,-1.26266,-2.10248,-0.27832,-1.39481,-2.29171,-0.283431,-1.41537,-2.27678,-0.307058,-1.4095,-2.27678,-0.301584,-1.38903,-2.29171
838898957,1,-0.24678,-1.26791,-2.18821,-0.251538,-1.28705,-2.17484,-0.273007,-1.28172,-2.17484,-0.267915,-1.26266,-2.18821,-0.277489,-1.39147,-2.37977,-0.282664,-1.41229,-2.36523,-0.306291,-1.40642,-2.36523,-0.300753,-1.38568,-2.37977
838899469,1,-0.24678,-1.26791,-2.23194,-0.251567,-1.28717,-2.21875,-0.273036,-1.28184,-2.21875,-0.267915,-1.26266,-2.23194,-0.27707,-1.38978,-2.42464,-0.282276,-1.41073,-2.4103,-0.305903,-1.40486,-2.4103,-0.300334,-1.384,-2.42464
838897421,1,-0.24678,-1.26791,-2.06045,-0.251449,-1.2867,-2.04655,-0.272918,-1.28136,-2.04655,-0.267915,-1.26266,-2.06045,-0.278732,-1.39647,-2.24849,-0.28381,-1.4169,-2.23337,-0.307437,-1.41103,-2.23337,-0.301996,-1.39069,-2.24849
838898446,1,-0.225215,-1.27327,-2.14506,-0.22961,-1.29238,-2.13152,-0.251079,-1.28704,-2.13152,-0.24635,-1.26802,-2.14506,-0.254212,-1.39903,-2.33546,-0.258992,-1.41982,-2.32073,-0.282619,-1.41394,-2.32073,-0.277476,-1.39325,-2.33546
838897934,1,-0.225215,-1.27327,-2.10248,-0.22958,-1.29226,-2.08876,-0.251049,-1.28692,-2.08876,-0.24635,-1.26802,-2.10248,-0.254626,-1.4007,-2.29171,-0.259374,-1.42135,-2.27678,-0.283001,-1.41548,-2.27678,-0.27789,-1.39492,-2.29171
838898958,1,-0.225215,-1.27327,-2.18821,-0.229639,-1.2925,-2.17484,-0.251108,-1.28716,-2.17484,-0.24635,-1.26802,-2.18821,-0.253795,-1.39736,-2.37977,-0.258607,-1.41827,-2.36523,-0.282234,-1.4124,-2.36523,-0.277059,-1.39157,-2.37977
